4.728814396186321600e-01,8.660181818966056211e-01,-8.956023505056706080e-01
-8.609706141455941708e-02,-5.521625228546122033e-01,1.907710750507458641e-01
-4.642030581002301592e-02,7.245575880574434136e-02,1.018269983269056711e-01
-1.876066712575275020e-01,-6.106254582964565358e-02,-4.102157477355884985e-01
4.640013486587801772e-02,1.363213871345293482e-01,-7.320006342635232421e-02
9.584640855844256402e-01,5.115159714246706457e-01,-1.612665732727247558e-01
-3.988949320468148096e-01,-5.553598200118938788e-01,-1.281456366581666118e-01
1.678201091848887661e-01,-3.765127782256761924e-01,6.161867367143777918e-02
6.749231946797316084e-01,8.355921547576479202e-01,8.022818880029248811e-01
8.504187284436769412e-01,-1.666770168572716537e-01,-6.836979840674412001e-01
